original,predicted,wer:21.54,cer:6.81,num_tokens,num_chars,substitutions,insertions,deletions
tshotsho kodiongo amilobeli na se ya motema nayebaka te nini etinda ngai naloba ke nawuta barumbu,tshotsho kodiongo amilobeli na se ya motema nayebaka te nini tii na ngai naloba que nauta barumbu,4,6,16,82,3,1,0
na kesi ya leta bambɔgɔ ezali kobima po na kobongisa banzela,nakesi ya leta mbɔngɔ ezali kobima mpo na kobongisa banzela,4,4,11,50,3,0,1
na ndenge babatelinzoto bakimisaki ya na motuka,na ndenge babatelinzoto bakimisaki ye na motuka,1,1,7,41,1,0,0
mokolo wana tango oyaki nayokaki posa ya kozinda na se ya mabele,mokolo wana tango ayaki nayɔkaki mposa ya kozinga na se ya mabele,4,4,12,53,4,0,0
sukasuka akoya kofanda awa libela,sukasuka akoya kofanda awa libela,0,0,5,29,0,0,0
tala ebembe ya mama na yɔ,tala ebemba mama na yɔ,2,2,6,20,1,0,1
ayɔki ata kosukosu te,ayɔki ata koso kosuta,2,2,4,18,2,0,0
atali esika motuka etelemaki,atali esika motuka etelemaki,0,0,4,25,0,0,0
na bavote yango kasi na polele boye aseki,na bavote yango kasi na polele boye aseki,0,0,8,34,0,0,0
bakomɛla yɔ okozanga esika okokɛndɛ kofunda,lokola babengi yɔ masta osupi boli,6,30,6,38,4,1,1
mwananyoka apusani pεnε na ye azwi kopo ya masanga amelisi excellence,mwananyoka apusani bene na ye azwi kopo ya masanga amɛlise excellence,2,5,11,59,2,0,0
ekipi mosusu kombo na yango ezalaki bana ya kin,ekipi mosusu kombo na yango ezalaki bana ya kin,0,0,9,39,0,0,0
mibali oyɔ onyɔkɔlaki pe obomaki bazali bandeko na ngai,mibali oyɔ nyɔkolaki pe okomaki bazali bandeko na ngai,2,3,9,47,2,0,0
mwana moninga mawa te,bwana moninga mawa te,1,1,4,18,1,0,0
mwasi oyɔ bazalaki kobenga atelemi,mwasi oyɔ bazalaki kobenga atelemi,0,0,5,30,0,0,0
bozwa yango na ndenge ya mabe te,bozwa yango na ndenge ya mabe te,0,0,7,26,0,0,0
kozonga azozonga na kolεmba wana nyɔnso makanisi kaka aya kopemisa molimo na tolo ya muji,kozonga azozonga na kolemba wana nyɔnso makanisi kaka aya kopemisa melimo na talo ya moki,4,5,15,75,4,0,0
soki olandi elimboli ya bakɔkɔ nzambe atia mibeko oyɔ etambusaka mokili,soki olandi elimboli ya bakɔko nzambe atiya mibeko oyɔ etambusaka mokili,2,2,11,61,2,0,0
ngai nazodondwa,ngai nazodondoan,1,2,2,14,1,0,0
ayebi mongongo wana malamu,ayebi mongongo wana malamu,0,0,4,23,0,0,0
yɔ obosani que biso mutu tobanda masolo ya bavilla,yɔ obosani que biso mɔtɔ tobanda masolo ya bavina,2,4,9,42,2,0,0
na ntaka na bametre mibale atelemi,na ntaka na bamaintre mibale atelemi,1,3,6,29,1,0,0
bino ko  boza mikieee,binoko bozangi te,4,5,4,17,3,0,1
ayebi nanu te nini akosala soki abalusi miso na ye po na kotala mɔtɔ oyɔ azalaki kobenga ye na lofundu nyɔnso,ayebi nanu te nini a kosala soki abalusi miso na ye mpo na kotala mɔtɔ oyɔ azalaki kobenga ye na lofundu nyɔnso,3,1,21,89,2,1,0
lokola mosisa ya nsɔni bakata ye wana abendi pe kiti afandi,lokola mosisa ya nsɔni makata ye wana abengi pekitipe afandi,4,4,11,49,3,0,1
bopotani na kabila kuna atie yɔ na mopanzi mbala moko okomi mutu ya opposition,opotani na kabila kona thoyo mopanzi mbala moko okomi mɔtɔ ya position,7,12,14,65,5,0,2
kuna na kimbanseke pere na bino azalaki koloba ke azali nani,kuna na kimbaseki per na bino azalaki koloba que azali nani,3,5,11,50,3,0,0
otangaki yango wapi,otangaki yango wappi,1,1,3,17,1,0,0
ndako ya mbεlε,ndako ya mbele,1,2,3,12,1,0,0
tshotsho alingi alakisa kimobali akiti na motuka,tsotsho alingi alakisa kimobali akiti na motuka,1,1,7,42,1,0,0
er wana kimbanseke ezalaki mingi bamboka ya bakongo,heire wana kemance ki ezalaki mingi bamboka ya bakongo,3,7,8,44,2,1,0
nakozala te mokolo kongo ekotelema,nakozala pe mokolo ongutelema,3,6,5,30,2,0,1
esengi kaka ndenge ndeko eliezer alobaka  benda molayi tii bakolεmba,esengi kaka ndenge ndeko eeseralobaka benda molayi tii bakolemba,3,4,10,58,2,0,1
atuni muji balobi na ye ete ayaki kaka na ntɔngɔ kotika bafungola pe akeyi,atuni muji balobi na ye ete ayaki kaka na ntɔngɔ kotika fungola pe akweyi,2,3,14,61,2,0,0
abeleli mama moko azalaki kolekana,abeleli mama moko azalaki kolekana,0,0,5,30,0,0,0
tokolangwa na lar na yɔ te,toolanwana lare na yɔ ta,4,4,6,21,3,0,1
na nkoto mibale na zomi na nsambo lopango ya suka etikalaki yango wana,na nkoto mibale na zomi na sambo lopango ya suka etikalaki yango wana,1,1,13,58,1,0,0
po na yango moflato to matolo ezosala ete mɔtɔ azali na makanisi ya malamu ya kopesa kasi abombi yango,po na yango mosiatoto matolo ezosala ete mɔtɔ azali na makanisi ya malamu ya kopesa kasi abombi yango,2,2,19,84,1,0,1
kimya oyɔ ya ye,kimya oyɔ ya ye,0,0,4,12,0,0,0
tika koloba boye,tika koloba boye,0,0,3,14,0,0,0
mokonzi nzela oyɔ azali kolanda ezali malamu te,mokonzi nzela oyɔ azalaki kolanda ezalaki malamu te,2,4,8,40,2,0,0
soki osali bongo te ozali zoba,soki osali bongo te ozali zoba,0,0,6,25,0,0,0
akoti na epemelo ya lokumu ya libanda ya pepo ya ndjili,akoti na epemelo ya lokumu ya libanda ya pepo ya ndjili,0,0,11,45,0,0,0
bana ya barumbu bakabwani na kondongwana,bana ya barumbu bakabwani na kodongwama,1,2,6,35,1,0,0
mere na biso kutu azobeta lisolo ke tangu sukuma ya lumumba ezosalama pere atambola zambazamba,mbere na biso kutu azobeta lisolo que tangu sokuma ya lumumba ezosalama peratambola azamba zamba,6,6,15,80,6,0,0
excellence azalaki na mobembo na libanda,excellence azalaki na mobembo na libanda,0,0,6,35,0,0,0
yɔ pe ozalaka mwana ya barumbu,yɔ pe ozalaka mwana ya mbarombo,1,3,6,25,1,0,0
uta mokolo wana po na jeannine mosolo ezanga bolingo efandaka na epemelo wana,uta mokolo wana po na jeannine masolo ezanga bolingo efandaka na epemelo wana,1,1,13,65,1,0,0
tozobeta babale na butu ndeko,tozobeta babali na butu ndeko,1,1,5,25,1,0,0
na bapanzi sango na bato bango bayambaka balobaka makambu ezanga mɔtɔ na makolo,na bapanza ya sambo na bato bango bayambaka balobaka makambo ezanga mɔtɔ na makolo,4,6,13,67,3,1,0
tango asilisi kolia likanisi eyeli ye,tango asilisi kolia likanisi eyeli ye,0,0,6,32,0,0,0
bafinga ye na mpwasa,bafinga ye na mpwasa,0,0,4,17,0,0,0
oyɔ ya kobela opesi mbɔngɔ ya lopitalo oyɔ ya mbɔngɔ ya kelasi opesi oyɔ bazali na nzala opesi,oyɔ ya kobela opesi mbɔngɔ ya lopitalo oyɔ ya mbɔngɔ ya kelasi opesi oyɔ bazali na nzala opesi,0,0,18,77,0,0,0
obandaki awa oo bino batu ya chantier mitano,obandaki awa aya bino bato ya cinq chanti,4,15,8,37,4,0,0
azosambwisa ngai na miso ya bato,ozosambwisa ngai na miso ya batu,2,2,6,27,2,0,0
akonzi baposa ya kolela oyɔ ezalaki ko matela ye na miso,akuzi bamposa ya kolela oyɔ ezalaki komatela ye na miso,4,3,11,46,3,0,1
oyebi yango malamu,oyebi yango malamu,0,0,3,16,0,0,0
akobi na kolobaka ete soki bobwakisi ngai bokotiya nani,akobi nakoloba ete soki bobwakisi ngai bokotiya nani,2,2,9,47,1,0,1
kompani omonaki ya kotongela biso kompani ya kindumba,kompani omonaki ya kotongela biso kompani ya kindumba,0,0,8,46,0,0,0
liputa na elongi ya excellence apangusi ye mɔtɔki,liputa na elongi ya excerlence apangisi ye mɔtɔ tɔ,4,4,8,42,3,1,0
bokasa tala ndenge ekoma,nbokasa tala ndenge ekoma,1,1,4,21,1,0,0
na mobulu wana mokumbi amonaki te ete libulu moko ya monene ezalaki na matakanelo ya bokasa pe kabambare,na mobulu wana mokumbi amonaki te ete libulu moko ya monene ezalaki na mataka ndelo ya bokua bokasa,5,11,18,87,1,2,2
tokolangwa na moins cher,tokolangona mwoi chere,4,6,4,21,3,0,1
bamomi tout bakomaki bamomi na yɔ,bamomi tu bakoma ye bamomi na yɔ,3,4,6,28,2,1,0
tata oyɔ ya pawu soki kaka vide emonani amamoli pawu,tata oyɔ ya pawu soki kaka vile emonani amamoli pawu,1,1,10,43,1,0,0
tshotsho pe makambo ya politiki eyeli na elulu azwi lisusu tango ya koluka muji te,tshotsio pe makambo ya politiki eyeli na elulo azwi lisusu ntango ya koluka moji te,4,4,15,68,4,0,0
otanga na ecole nini,otanga na ekol nini,1,2,4,17,1,0,0
po ndelo oyɔ mwananyoka abongisaki ndako wana oza na likanisi te,pombelu oyɔ mwananyoka abongisaki ndako wana aza na likanisi te,3,4,11,54,2,0,1
akangisa commissionnaire kasi commissionnaire ayebi te nini akoyebisa muji,akangisa comissionnaire kasi comissionnaire ayebi te nini akoyebisa mogen,3,6,9,66,3,0,0
boki nasombi ezali kaka luzitu bino bozali na vieux na ngai bosimbi masolo,boki nasombi ezali kaka luzito bino bozali na vieu na ngai bosimbi masolo,2,2,13,62,2,0,0
bana ya ituri bazangi bamama basi ya beni bazangi mibali mibali ya kasayi bazangi basi,bana ya etoli bazangi bamama basi ya beni bazangi mibali mibali ya kasali bazangi basi,2,4,15,72,2,0,0
mbɔngɔ atikalaki na yango akeyi na ye na yaounde na kamerun,mbɔngɔ atikalaki na yango akweyi na ye ndala wεnde na camecromp,4,10,11,49,4,0,0
monano ya suka monano ya suka nayebi lisusu nzela nakoleka te monano ya suka,monano ya suka monano ya suka nayebi lisusu nzela na koleka te monano ya suka,2,0,14,63,1,1,0
tango ayei kozonga lisolo ya barumbu esili,ntango ayei kozonga lisolo ya barumbu esili,1,1,7,36,1,0,0
smartphone oyɔ bana ya goma na bukavu bakɔkɔka kosomba te,smartifonde oyɔ bana ya goma na bukavu bakokoka kosomba te,2,5,10,48,2,0,0
mpiaka ekozinga yɔ ndenge moko na baninga nyɔnso oyɔ yɔ omɛlaki bambɔgɔ na bango,piaka ekozinga yɔ ndenge moko na baninga nyɔnso oyɔ yɔ omɛlaki bambɔgɔ na bango,1,1,14,67,1,0,0
tshotsho kodiongo asutuki,tshotsho kodiongo asutuki,0,0,3,23,0,0,0
makanisi ya quartier beau marche pe ebimaki,makanisi ya quartier gomarche pe ebimaki,2,4,7,37,1,0,1
tii na ndenge eyaki kolongwa otraco pe ekomaki onatra,tii na ndenge eyaki kolongwa otlakod pe ekomaki onata,2,4,9,45,2,0,0
afandaka lopango monene kaka ye moko,afandaka lopango monene kaka ye moko,0,0,6,31,0,0,0
soki ezalaki tangu ya kimya nde jeep ya bana mura elɔkɔteli ngai bango awa bakɛndɛ konyɔngama na ndenge ya mokε te,soki ezalaki tango ya kimiya nde dipi ya bana mura elokoteli ngai bango awa bakɛndɛ konyɔngwama na ndenge ya moke te,6,10,21,94,6,0,0
atelemi ye wana akei na epayi ya kosuba,atelemi ye wana akeyi na epayi ya kosoba,2,2,8,32,2,0,0
bomoyi ya tshotsho kodiongo esuki na ngonga oyɔ azalaki kozela te,bomoyi ya thotsho kodiongo esuki na ngonga oyɔ azalaki kozela te,1,1,11,55,1,0,0
eleki mwa mikolo tshotsho ameseni na kozala te ya muji,eleki mwa mikolo tshotso amesani na kozala te ya moji,3,3,10,45,3,0,0
telema kɛndɛ,tee akɛnde,2,3,2,11,2,0,0
abalusi miso nsima abalusi nzoto mobimba,abalusi miso sima abalusi nzoto mobimba,1,1,6,35,1,0,0
molunge lokola ezalaki makasi bapeliseli ye etindamalili,mulungi lokola ezalaki makasi bapekiseli ye etinda mabinoni,4,7,7,50,3,1,0
nsima na yango okoyoka mɔtɔ nyɔnso koloba antuka mboka oyɔ ekobonga te,nsima na yango koyoka mɔtɔ nyɔnso akoloba na ntoka mboka oyɔ ekobonga te,4,4,12,59,3,1,0
na motema amilobeli tala bambendre oyɔ kaka po eza tangu ya vote,na motema amilobeli tala bambεnde oyɔ kaka po eza tango ya bote,3,4,12,53,3,0,0
auguy amoni ndenge bamvula tuku mibale ya bomoyi naye ekɛnda na fulu,odi amoni ndeg bamvula ntuku mibale ya bomoi na ye ekenda na folo,8,12,12,57,7,1,0
lobi na yango excellence ayibi mbɔngɔ elεngεlamaki po na kobongisa balabala moko na engumba kikwit,lobi na yango excellence ayibi mbongo elεngelamaki po na kobongisa balabala moko na engumba kikwiti,3,4,15,84,3,0,0
otekili masta na yɔ asimba staff mawa trop,otikili masta na yɔ asimbastafmbawa trop,4,3,8,35,2,0,2
akoma pe nsɔmɔ na kosala kitoko ya bandako,akoma pe nsɔmɔ ya kosala kitoko ya bandako,1,1,8,35,1,0,0
yɔ ozali mwana ya barumbu yɔ,yɔ ozali mwana ya balumbuyɔ,2,1,6,23,1,0,1
mɔtɔ ya liboso afingaki ye bongo ezalaki mama ya bana na ye abosanaka yango te,mɔtɔ ya liboso afingali ye bongo ezalaki mama na bana na ye abosana na yango tem,5,4,15,64,4,1,0
kongo ekobosana yɔ ekobosana tii na kombo na yɔ,kongo ekobosana yɔ ekobosana tii na kombo na yɔ,0,0,9,39,0,0,0
moyi ezalaki kongala makasi,moyi ezalaki kongana makasi,1,1,4,24,1,0,0
tshotsho kodiongo motema ekiti,totshoka diongo motema ekiti,2,3,4,27,2,0,0
ayebi que soki afandisi masolo na barumbu te na parti na bango asambwe,ayebi que soki afandisi masolo na balumbu te na parti na bango asambowa,2,3,13,58,2,0,0
na ndenge ya respect petit tangu akoti na esika bakulutu bazali ezosenga mwa nsamba ekita,na ndenge ya resple peti tangu akoti na esika bakulutu bazali ezosenga mwa samba ekita,3,5,15,75,3,0,0
po eyebana sukasuka bakolongola ye,po eyebana sukasuka bakolongola ye,0,0,5,30,0,0,0
ameli mayεlε pe bwanya na ye,amɛli mayεlε pe bwane na ye,2,3,6,23,2,0,0
atali ndaku asepeli na yango makasi,atali ndako asepeli na ngo makasi,2,3,6,30,2,0,0
oyɔ mabele ya kimmbangu mabele ya lumumba,oyɔ bamɛlia akimbango mabela ya lumumba,4,8,7,35,3,0,1
bana beau marche balobi bango nde bapesa genre na barumbu,bana ya go marche balobi bango nde bapesa geor na barumbu,3,6,10,48,2,1,0
excellence amilobi ndenge ezali,excellence amilobi ndenge zali,1,1,4,28,1,0,0
na lingomba na bango tshotsho kodiongo alobi ete ye alingi kotiya libaya kaka na ma campagne,na lingomba na bango tshotsho kodiongo alobi ete ye alingi kotiya libaya kaka na macampagne,2,0,16,77,1,0,1
mwananyoka azwi mokano ya koteka lopango yango alimwa na ye na circuit,mwananyoka azwi mokano ya koteka na lopango yango ali mwa na ye nde na seki,5,10,12,59,2,3,0
asimbi ye na loboko na makasi nyɔnso po atelema,asimbi ye na loboko na makasi nyɔnso po atelema,0,0,9,39,0,0,0
naloba nini,naloba nini,0,0,2,10,0,0,0
longwa wana mosika na ngai elima mabe,longwa wana mosika na ngai elima mabe,0,0,7,31,0,0,0
mɔtɔ pe akotelemela likanisi yango azali te,mɔtɔ pe akotelemela likanisi yango azali te,0,0,7,37,0,0,0
ayebisi na barman  barman memela baprêtre mwa boki awa ngai nakofuta,ayebisi barmagn mbarmagn amemela bapreutre mons boki awa ngai nakofuta,6,11,11,57,5,0,1
yɔ na mobeko ozoluka kwanga po na mboka na yɔ,yɔ na modeku ozoluka kwanga po na mboka na yɔ,1,2,10,36,1,0,0
akenda atika elaka te,akenda atika elaka te,0,0,4,18,0,0,0
exellence mosusu pe ayibi soki mbɔngɔ ya kotɔnga soki lopitalo asombi yango na milio moko,exelance mosusu mpe ayibi soki mbɔngɔ ya kotonga soki lopitalo asombi yango na inmidion,5,11,15,75,4,0,1
soki mbɔngɔ ya primus esili biso tokosomba agene,soki mogo akoimisi esili biso tokosomba a guene,5,10,8,41,3,1,1
amoni elongi ya mama na bango akufa motema na ye ekiti,amoni elongi ya mama na bango akufa motema na ye ekiti,0,0,11,44,0,0,0
naweli bokonzi na kisasa nazwi tango te ya kobatela yɔ,naweli bokonzi na kinshasa nazwi ntango te ya kobatela yɔ,2,3,10,45,2,0,0
baluka bavilla bazwa bavilla,baluka bavila bazwa bavila,2,2,4,25,2,0,0
makambo na bino ngai moko nakomema yango,makambo na bino ngai moko nakomema yango,0,0,7,34,0,0,0
soki alobi bongo mokonzi akolongola ye na ezungulukelo,soki alobi bongo mokonzi akolongola ye na ezungulukelo,0,0,8,47,0,0,0
bazelaki yɔ okɛndɛ koboma bato po oya koleisa bango mbɔngɔ ya botutu,bazelaki yɔ okɛndɛ koboma bato po oya kolelisa bango mbɔngɔ ya butu tu,3,2,12,57,2,1,0
azalaki koloba azalaki kopusana pεnεpεnε ya motuka yango,azalaki koloba azalaki kopusana pεnεpεnε ya motuka yango,0,0,8,49,0,0,0
yɔ okanisi toyebi yɔ te,yoka nzoto yebi yɔ te,3,4,5,19,3,0,0
atie bato ya kofutela,atie bato ya kofutela,0,0,4,18,0,0,0
na tango wana commune bazalaki kobenga yango zone,na tango wana kommune bazalaki kobenga yango zon,2,2,8,42,2,0,0
ye azoluka kwanga po na mboka na ye,soki okomi koluka po na yɔ moko etali yɔ,7,21,8,28,6,1,0
mvula nyɔnso akoma koteka lopango moko,mbula nyɔnso akoma koteka lopango moko,1,1,6,33,1,0,0
